batchId,id,issuerId,kind,locationState,originEvidenceId,partNumber,partRevision,serialNumber
B17,E001,SUP-A,component,installed,SYNTHETIC-RECEIPT-E001,ENC-42,A,E001
B17,E002,SUP-A,component,installed,SYNTHETIC-RECEIPT-E002,ENC-42,A,E002
B17,E003,SUP-A,component,installed,SYNTHETIC-RECEIPT-E003,ENC-42,A,E003
B17,E004,SUP-A,component,installed,SYNTHETIC-RECEIPT-E004,ENC-42,A,E004
B17,E005,SUP-A,component,onsite,SYNTHETIC-RECEIPT-E005,ENC-42,A,E005
B17,E006,SUP-A,component,quarantine,SYNTHETIC-RECEIPT-E006,ENC-42,A,E006
B18,E101,SUP-A,component,installed,SYNTHETIC-RECEIPT-E101,ENC-42,A,E101
B18,E102,SUP-A,component,installed,SYNTHETIC-RECEIPT-E102,ENC-42,A,E102
,E900,SUP-A,component,installed,,ENC-42,A,E900
,J001,OEM-DEMO,subassembly,installed,,JOINT-10,B,J001
,J002,OEM-DEMO,subassembly,installed,,JOINT-10,B,J002
,J003,OEM-DEMO,subassembly,installed,,JOINT-10,B,J003
,J004,OEM-DEMO,subassembly,installed,,JOINT-10,B,J004
,J005,OEM-DEMO,subassembly,installed,,JOINT-10,B,J005
,J006,OEM-DEMO,subassembly,installed,,JOINT-10,B,J006
,J007,OEM-DEMO,subassembly,installed,,JOINT-10,B,J007
,R001,OEM-DEMO,robot,shipped,,ARM-100,A,R001
,R002,OEM-DEMO,robot,shipped,,ARM-100,A,R002
,R003,OEM-DEMO,robot,onsite,,ARM-100,A,R003
,R004,OEM-DEMO,robot,shipped,,ARM-100,A,R004
,R005,OEM-DEMO,robot,shipped,,ARM-100,A,R005
,R006,OEM-DEMO,robot,shipped,,ARM-100,A,R006
