childId,evidenceId,id,installedAt,parentId,recordedAt,removedAt,slotId
E001,SYNTHETIC-BUILD-I01,I01,2026-09-02T10:00:00Z,J001,2026-09-10T12:00:00Z,,encoder
J001,SYNTHETIC-BUILD-I02,I02,2026-09-03T10:00:00Z,R001,2026-09-10T12:00:00Z,,joint-1
E002,SYNTHETIC-BUILD-I03,I03,2026-09-02T10:00:00Z,J002,2026-09-10T12:00:00Z,,encoder
J002,SYNTHETIC-BUILD-I04,I04,2026-09-03T10:00:00Z,R002,2026-09-10T12:00:00Z,,joint-1
E003,SYNTHETIC-BUILD-I05,I05,2026-09-02T10:00:00Z,J003,2026-09-10T12:00:00Z,,encoder
J003,SYNTHETIC-BUILD-I06,I06,2026-09-03T10:00:00Z,R002,2026-09-10T12:00:00Z,,joint-2
E004,SYNTHETIC-BUILD-I07,I07,2026-09-02T10:00:00Z,J004,2026-09-10T12:00:00Z,,encoder
J004,SYNTHETIC-BUILD-I08,I08,2026-09-03T10:00:00Z,R003,2026-09-10T12:00:00Z,,joint-1
E900,SYNTHETIC-BUILD-I09,I09,2026-09-02T10:00:00Z,J005,2026-09-10T12:00:00Z,,encoder
J005,SYNTHETIC-BUILD-I10,I10,2026-09-03T10:00:00Z,R005,2026-09-10T12:00:00Z,,joint-1
E006,SYNTHETIC-BUILD-I11,I11,2026-09-02T10:00:00Z,J006,2026-09-10T12:00:00Z,2026-09-08T10:00:00Z,encoder
J006,SYNTHETIC-BUILD-I12,I12,2026-09-03T10:00:00Z,R006,2026-09-10T12:00:00Z,,joint-1
E102,SYNTHETIC-BUILD-I13,I13,2026-09-08T10:00:00Z,J006,2026-09-10T12:00:00Z,,encoder
E101,SYNTHETIC-BUILD-I14,I14,2026-09-02T10:00:00Z,J007,2026-09-10T12:00:00Z,,encoder
J007,SYNTHETIC-BUILD-I15,I15,2026-09-03T10:00:00Z,R004,2026-09-10T12:00:00Z,,joint-1
