installationId,childId,parentId,slotId,installedAt,removedAt,recordedAt,evidenceJson
INST-CONN-0004,CONN-0004,CPM-0004,connector,2026-09-01T08:00:00Z,,2026-09-01T08:05:00Z,[]
INST-CONN-0007,CONN-0007,CPM-0004,secondary-connector,2026-09-01T08:00:00Z,,2026-09-01T08:05:00Z,[]
INST-BRKT-0004,BRKT-0004,CPM-0004,bracket,2026-09-01T08:00:00Z,,2026-09-01T08:05:00Z,[]
INST-MOD-0004,CPM-0004,DEMO-EV-004,charge-port-module,2026-09-01T10:00:00Z,,2026-09-01T10:05:00Z,[]
INST-CONN-0005,CONN-0005,CPM-0005,connector,2026-09-02T08:00:00Z,,2026-09-02T08:05:00Z,[]
INST-BRKT-0005,BRKT-0005,CPM-0005,bracket,2026-09-02T08:00:00Z,,2026-09-02T08:05:00Z,[]
INST-MOD-0005,CPM-0005,DEMO-EV-005,charge-port-module,2026-09-02T10:00:00Z,,2026-09-02T10:05:00Z,[]
INST-CONN-0006,CONN-0006,CPM-0006,connector,2026-09-03T08:00:00Z,,2026-09-03T08:05:00Z,[]
INST-MOD-0006,CPM-0006,DEMO-EV-006,charge-port-module,2026-09-03T10:00:00Z,,2026-09-03T10:05:00Z,[]
INST-BRKT-0007,BRKT-0007,CPM-0007,bracket,2026-09-01T08:00:00Z,2026-09-08T08:00:00Z,2026-09-08T08:05:00Z,[]
INST-BRKT-CONTROL-0007,BRKT-CONTROL-0007,CPM-0007,bracket,2026-09-08T08:00:00Z,,2026-09-08T08:05:00Z,[]
INST-MOD-0007,CPM-0007,DEMO-EV-007,charge-port-module,2026-09-01T10:00:00Z,,2026-09-01T10:05:00Z,[]
INST-CONN-0099,CONN-0099,CPM-0008,connector,2026-09-04T08:00:00Z,,2026-09-04T08:05:00Z,[]
INST-MOD-0008,CPM-0008,DEMO-EV-008,charge-port-module,2026-09-04T10:00:00Z,,2026-09-04T10:05:00Z,[]
